URL catégorie,Titres,Prix,Stock
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,It's Only the Himalayas,£45.17,In stock (19 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,See America: A Celebration of Our National Parks & Treasured Sites,£48.87,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,In stock (8 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,Under the Tuscan Sun,£37.33,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,A Summer In Europe,£44.34,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,The Great Railway Bazaar,£30.54,In stock (6 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,A Year in Provence (Provence #1),£56.88,In stock (6 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,Neither Here nor There: Travels in Europe,£38.95,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,"1,000 Places to See Before You Die",£26.08,In stock (1 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Sharp Objects,£47.82,In stock (20 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,"In a Dark, Dark Wood",£19.63,In stock (18 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,The Past Never Ends,£56.50,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,A Murder in Time,£16.64,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,The Last Mile (Amos Decker #2),£54.21,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,That Darkness (Gardiner and Renner #1),£13.92,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Tastes Like Fear (DI Marnie Rome #3),£10.69,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,A Time of Torment (Charlie Parker #14),£48.35,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,A Study in Scarlet (Sherlock Holmes #1),£16.73,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Poisonous (Max Revere Novels #3),£26.80,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Most Wanted,£35.28,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Hide Away (Eve Duncan #20),£11.84,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Boar Island (Anna Pigeon #19),£59.48,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,The Widow,£27.26,In stock (11 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Playing with Fire,£13.71,In stock (11 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Delivering the Truth (Quaker Midwife Mystery #1),£20.89,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Tipping the Velvet,£53.74,In stock (20 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,A Flight of Arrows (The Pathfinders #2),£55.53,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The House by the Lake,£36.95,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Mrs. Houdini,£30.25,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The Marriage of Opposites,£28.08,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Glory over Everything: Beyond The Kitchen House,£45.84,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,"Love, Lies and Spies",£20.55,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,A Paris Apartment,£39.01,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Lilac Girls,£17.28,In stock (11 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The Constant Princess (The Tudor Court #1),£16.62,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The Invention of Wings,£37.34,In stock (6 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,World Without End (The Pillars of the Earth #2),£32.97,In stock (5 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The Passion of Dolssa,£28.32,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Girl With a Pearl Earring,£26.77,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Voyager (Outlander #3),£21.07,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The Red Tent,£35.66,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The Last Painting of Sara de Vos,£55.55,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The Guernsey Literary and Potato Peel Pie Society,£49.53,In stock (3 available)
